dt,humidity,pressure,temp,wind_speed
01-01-2017 00:00,85,1025,-2.19,2.51
01-01-2017 01:00,80,1025,-2.44,0.5
01-01-2017 02:00,81,1024,-1.94,1
01-01-2017 03:00,89,1024,-1.62,2.56
01-01-2017 04:00,81,1024,-1.52,1
01-01-2017 05:00,82,1024,-1.73,1.5
01-01-2017 06:00,81,1025,-1.49,3.1
01-01-2017 07:00,80,1025,0.07,2.6
01-01-2017 08:00,75,1025,2.11,3.1
01-01-2017 09:00,70,1025,4.47,3.1
01-01-2017 10:00,64,1024,5.75,2.6
01-01-2017 11:00,60,1024,6.04,2.6
01-01-2017 12:00,52,1023,6.38,1
01-01-2017 13:00,52,1023,6.42,1.5
01-01-2017 14:00,54,1023,5.94,0.5
01-01-2017 15:00,57,1023,4.42,0.5
01-01-2017 16:00,72,1023,3,1
01-01-2017 17:00,73,1023,1.69,1
01-01-2017 18:00,79,1023,1.12,1.67
01-01-2017 19:00,74,1023,0.91,1
01-01-2017 20:00,74,1023,0.48,1.5
01-01-2017 21:00,84,1024,0.1,1.67
01-01-2017 22:00,73,1023,-1.03,1
01-01-2017 23:00,76,1023,-1.57,1.5
01-02-2017 00:00,87,1023,-1.75,1.53
01-02-2017 01:00,78,1023,-2.15,1
01-02-2017 02:00,81,1023,-2.58,0.5
01-02-2017 03:00,91,1022,-1.98,1.64
01-02-2017 04:00,84,1022,-2.37,1
01-02-2017 05:00,82,1023,-2.1,1
01-02-2017 06:00,78,1023,-2.03,3.6
01-02-2017 07:00,76,1023,0.45,3.1
01-02-2017 08:00,71,1023,2.99,3.1
01-02-2017 09:00,65,1023,4.86,3.1
01-02-2017 10:00,56,1022,7.11,3.1
01-02-2017 11:00,50,1022,7.92,2.1
01-02-2017 12:00,54,1021,8.42,0.5
01-02-2017 13:00,61,1021,8.55,1
01-02-2017 14:00,53,1021,8.55,1
01-02-2017 15:00,58,1021,6.4,0.5
01-02-2017 16:00,68,1021,4.09,1
01-02-2017 17:00,73,1021,2.39,1
01-02-2017 18:00,80,1022,2,0.5
01-02-2017 19:00,68,1022,1.83,0.5
01-02-2017 20:00,58,1022,2.53,3.6
01-02-2017 21:00,56,1022,2.72,3.6
01-02-2017 22:00,59,1022,1.62,3.6
01-02-2017 23:00,61,1022,1.74,2.6
01-03-2017 00:00,63,1022,1.71,5.1
01-03-2017 01:00,57,1022,1.46,3.6
01-03-2017 02:00,59,1022,1.32,4.6
01-03-2017 03:00,65,1022,2.03,5.1
01-03-2017 04:00,54,1021,1.97,4.1
01-03-2017 05:00,59,1022,2.53,2.1
01-03-2017 06:00,67,1022,3.24,3.6
01-03-2017 07:00,65,1022,3.79,3.6
01-03-2017 08:00,57,1022,5.52,3.6
01-03-2017 09:00,58,1022,7.36,3.6
01-03-2017 10:00,52,1021,9.06,3.1
01-03-2017 11:00,51,1020,10.26,3.6
01-03-2017 12:00,49,1020,11.11,3.6
01-03-2017 13:00,51,1020,11.38,3.6
01-03-2017 14:00,51,1019,11.15,3.1
01-03-2017 15:00,52,1020,10.36,3.1
01-03-2017 16:00,49,1020,9.08,0.5
01-03-2017 17:00,54,1020,7.26,1.5
